# |V2_up|^2  w_up  |V2_dn|^2  w_dn
1.00582547e-03 -2.89820380e+00 1.00582547e-03 -2.89820380e+00
1.09485195e-03 -2.68901086e+00 1.09485195e-03 -2.68901086e+00
1.90700074e-03 -2.47532949e+00 1.90700074e-03 -2.47532949e+00
3.76220552e-03 -2.24581639e+00 3.76220552e-03 -2.24581639e+00
6.91414635e-03 -2.04159386e+00 6.91414635e-03 -2.04159386e+00
1.50162479e-02 -1.83418186e+00 1.50162479e-02 -1.83418186e+00
2.09865935e-02 -1.61598916e+00 2.09865935e-02 -1.61598916e+00
1.92579238e-02 -1.41106201e+00 1.92579238e-02 -1.41106201e+00
2.08610094e-02 -1.20482906e+00 2.08610094e-02 -1.20482906e+00
1.76886831e-02 -9.81383526e-01 1.76886831e-02 -9.81383526e-01
1.29250075e-02 -7.71371680e-01 1.29250075e-02 -7.71371680e-01
1.39710426e-02 -5.62211778e-01 1.39710426e-02 -5.62211778e-01
9.29767201e-03 -3.54732305e-01 9.29767201e-03 -3.54732305e-01
1.67784482e-03 -1.44125622e-01 1.67784482e-03 -1.44125622e-01
2.45013638e-03 1.87740437e+00 2.45013638e-03 1.87740437e+00
1.38632237e-02 2.07220175e+00 1.38632237e-02 2.07220175e+00
2.76755872e-02 2.26129342e+00 2.76755872e-02 2.26129342e+00
2.43993650e-02 2.48026831e+00 2.43993650e-02 2.48026831e+00
1.57801338e-02 2.68901119e+00 1.57801338e-02 2.68901119e+00
1.37334732e-02 2.89629072e+00 1.37334732e-02 2.89629072e+00
1.03505656e-02 3.12140875e+00 1.03505656e-02 3.12140875e+00
8.03176991e-03 3.34622519e+00 8.03176991e-03 3.34622519e+00
5.49161668e-03 3.55587408e+00 5.49161668e-03 3.55587408e+00
5.09673997e-03 3.76292558e+00 5.09673997e-03 3.76292558e+00
3.94093955e-03 3.98718583e+00 3.94093955e-03 3.98718583e+00
2.63900448e-03 4.19683219e+00 2.63900448e-03 4.19683219e+00
2.40041490e-03 4.40387568e+00 2.40041490e-03 4.40387568e+00
1.83451821e-03 4.62840868e+00 1.83451821e-03 4.62840868e+00
1.23890333e-03 4.83845398e+00 1.23890333e-03 4.83845398e+00
